Class,Namespace,Definition
"String","",""
"list<parameter0>","",""
"list<Game>","",""
"list<User>","",""
"DataAcces<parameter0,parameter1>","",""
"DataAcces<Game,String>","",""
"Collection<parameter2>","",""
"Collection<Game>","",""
"Collection<Qualification>","",""
"Collection<User>","",""
"Session","",""
"Program","",""
"UsersAndCatalogueManager","",""
"Socket","",""
"ClientManager","",""
"IPEndPoint","",""
"Message","",""
"ServerManager","",""
"ServerTools","",""
"List<parameter0>","",""
"List<Socket>","",""
"IComunicator","",""
"ComunicationPackage","",""
"List<Game>","",""
"Package","",""
"Catalogue","Domain",""
"User","Domain",""
"Qualification","Domain",""
"GameDetails","Domain",""
"UsersAndCatalogueManager","Domain",""
"Game","Domain",""
"Object","Domain",""
"strnig","Domain",""
"GameAlreadyExists","Domain::Exceptions",""
"GameAlreadyPurchased","Domain::Exceptions",""
"GameNotFound","Domain::Exceptions",""
"UserAlreadyLogged","Domain::Exceptions",""
"UserNotFound","Domain::Exceptions",""
"UserNotOwnerOfGame","Domain::Exceptions",""
